epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,8361.45,0.75126,0.56249,1.05405,0.96425,0.94571,0.9727,0.89353,0.34859,0.63675,0.72382,0.000607333,0.000607333,0.000607333
126,8431.76,0.74611,0.55174,1.0466,0.96615,0.94571,0.97323,0.89321,0.34975,0.61944,0.72393,0.000604167,0.000604167,0.000604167
127,8493.79,0.73682,0.54592,1.04246,0.96988,0.94373,0.97368,0.89356,0.3493,0.55963,0.72303,0.000601,0.000601,0.000601
128,8568.44,0.73682,0.54904,1.04561,0.97342,0.93985,0.97238,0.89315,0.34917,0.56013,0.72288,0.000597833,0.000597833,0.000597833
129,8643.35,0.73515,0.54641,1.04655,0.97243,0.94006,0.97211,0.8942,0.34745,0.562,0.72254,0.000594667,0.000594667,0.000594667
130,8704.71,0.74165,0.55735,1.05629,0.97146,0.94076,0.97199,0.89392,0.34753,0.60964,0.72197,0.0005915,0.0005915,0.0005915
131,8766.58,0.71995,0.54044,1.0359,0.97015,0.9388,0.9713,0.89346,0.34596,0.62452,0.72107,0.000588333,0.000588333,0.000588333
132,8836.55,0.73134,0.54263,1.04345,0.97633,0.93485,0.97144,0.89219,0.34887,0.70987,0.72313,0.000585167,0.000585167,0.000585167
133,8901.76,0.7303,0.54377,1.0436,0.97153,0.9433,0.97177,0.89286,0.34742,0.70928,0.72275,0.000582,0.000582,0.000582
134,8977.85,0.73118,0.55338,1.04141,0.9725,0.94271,0.97317,0.89311,0.34706,0.72988,0.72293,0.000578833,0.000578833,0.000578833
135,9046.98,0.73466,0.55116,1.04776,0.97743,0.94055,0.97363,0.89365,0.34639,0.74249,0.72278,0.000575667,0.000575667,0.000575667
136,9111.73,0.72976,0.54327,1.03994,0.98192,0.93682,0.97401,0.89541,0.34306,0.6873,0.72144,0.0005725,0.0005725,0.0005725
137,9172.65,0.72911,0.54645,1.04192,0.96976,0.94958,0.97425,0.89564,0.34241,0.74192,0.72114,0.000569333,0.000569333,0.000569333
138,9242.83,0.7223,0.53204,1.0371,0.96657,0.94867,0.97387,0.89464,0.34296,0.76536,0.72124,0.000566167,0.000566167,0.000566167
139,9304.5,0.71873,0.54126,1.03896,0.96868,0.94641,0.97369,0.89394,0.34244,0.73439,0.72015,0.000563,0.000563,0.000563
140,9374.57,0.72771,0.5365,1.04056,0.97164,0.94716,0.9749,0.89457,0.34184,0.70024,0.71915,0.000559833,0.000559833,0.000559833
141,9446.71,0.72037,0.53143,1.03679,0.96861,0.94768,0.97393,0.89386,0.3424,0.62519,0.71943,0.000556667,0.000556667,0.000556667
142,9515.52,0.72145,0.53538,1.03685,0.96778,0.94768,0.97478,0.89396,0.34302,0.67072,0.71921,0.0005535,0.0005535,0.0005535
143,9580.06,0.71442,0.52978,1.03218,0.96812,0.94867,0.97427,0.89374,0.34253,0.71399,0.71933,0.000550333,0.000550333,0.000550333
144,9646.51,0.71692,0.53451,1.03979,0.96784,0.95079,0.9737,0.89359,0.34227,0.71149,0.71994,0.000547167,0.000547167,0.000547167
145,9708.89,0.70918,0.52579,1.03859,0.96593,0.95163,0.97345,0.89398,0.34329,0.70662,0.7215,0.000544,0.000544,0.000544
146,9786.64,0.7114,0.52673,1.03139,0.96638,0.95163,0.97346,0.89441,0.34352,0.72283,0.72188,0.000540833,0.000540833,0.000540833
147,9856.2,0.71375,0.52845,1.03063,0.96399,0.95136,0.97343,0.89424,0.34419,0.73835,0.72181,0.000537667,0.000537667,0.000537667
148,9917.16,0.71589,0.53575,1.03557,0.96338,0.94669,0.97235,0.89451,0.34528,0.7353,0.72247,0.0005345,0.0005345,0.0005345
149,9978.69,0.71359,0.53138,1.03383,0.96185,0.94572,0.97296,0.89354,0.34651,0.75571,0.72301,0.000531333,0.000531333,0.000531333
150,10049.6,0.71735,0.52543,1.03935,0.96511,0.94571,0.97246,0.89488,0.34732,0.73519,0.72328,0.000528167,0.000528167,0.000528167
151,10110.8,0.70313,0.51869,1.0304,0.96625,0.94669,0.97256,0.89496,0.34627,0.74757,0.72266,0.000525,0.000525,0.000525
152,10182,0.72168,0.52514,1.03378,0.96858,0.94768,0.97341,0.89497,0.34608,0.73143,0.72252,0.000521833,0.000521833,0.000521833
